合,1300,1300,8790,名詞,接尾,助数詞,*,*,*,合,ゴウ,ゴー
階,1300,1300,8748,名詞,接尾,助数詞,*,*,*,階,カイ,カイ
ｈａ,1300,1300,13714,名詞,接尾,助数詞,*,*,*,ｈａ,ヘクタール,ヘクタール
クラス,1300,1300,9397,名詞,接尾,助数詞,*,*,*,クラス,クラス,クラス
号棟,1300,1300,9871,名詞,接尾,助数詞,*,*,*,号棟,ゴウトウ,ゴートー
ミリ,1300,1300,8528,名詞,接尾,助数詞,*,*,*,ミリ,ミリ,ミリ
ヶ村,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ヶ村,カソン,カソン
ケ国,1300,1300,8619,名詞,接尾,助数詞,*,*,*,ケ国,カコク,カコク
カ村,1300,1300,8698,名詞,接尾,助数詞,*,*,*,カ村,カソン,カソン
倍,1300,1300,8480,名詞,接尾,助数詞,*,*,*,倍,バイ,バイ
盗,1300,1300,10198,名詞,接尾,助数詞,*,*,*,盗,トウ,トー
鉢,1300,1300,9852,名詞,接尾,助数詞,*,*,*,鉢,ハチ,ハチ
基,1300,1300,11535,名詞,接尾,助数詞,*,*,*,基,キ,キ
人,1300,1300,8672,名詞,接尾,助数詞,*,*,*,人,ニン,ニン
膳,1300,1300,10950,名詞,接尾,助数詞,*,*,*,膳,ゼン,ゼン
グループ,1300,1300,12914,名詞,接尾,助数詞,*,*,*,グループ,グループ,グループ
角,1300,1300,12451,名詞,接尾,助数詞,*,*,*,角,カク,カク
割,1300,1300,7581,名詞,接尾,助数詞,*,*,*,割,ワリ,ワリ
歳,1300,1300,8996,名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
海里,1300,1300,9872,名詞,接尾,助数詞,*,*,*,海里,カイリ,カイリ
号室,1300,1300,14937,名詞,接尾,助数詞,*,*,*,号室,ゴウシツ,ゴーシツ
回線,1300,1300,7066,名詞,接尾,助数詞,*,*,*,回線,カイセン,カイセン
選,1300,1300,16366,名詞,接尾,助数詞,*,*,*,選,セン,セン
ダイン,1300,1300,8708,名詞,接尾,助数詞,*,*,*,ダイン,ダイン,ダイン
部,1300,1300,11098,名詞,接尾,助数詞,*,*,*,部,ブ,ブ
粒,1300,1300,9990,名詞,接尾,助数詞,*,*,*,粒,ツブ,ツブ
スイスフラン,1300,1300,8677,名詞,接尾,助数詞,*,*,*,スイスフラン,スイスフラン,スイスフラン
メートル,1300,1300,7928,名詞,接尾,助数詞,*,*,*,メートル,メートル,メートル
ｍｈｚ,1300,1300,13707,名詞,接尾,助数詞,*,*,*,ｍｈｚ,メガヘルツ,メガヘルツ
版,1300,1300,10512,名詞,接尾,助数詞,*,*,*,版,ハン,ハン
曲,1300,1300,9721,名詞,接尾,助数詞,*,*,*,曲,キョク,キョク
カ月,1300,1300,11549,名詞,接尾,助数詞,*,*,*,カ月,カゲツ,カゲツ
対,1300,1300,13774,名詞,接尾,助数詞,*,*,*,対,ツイ,ツイ
ｖ,1300,1300,13719,名詞,接尾,助数詞,*,*,*,ｖ,ボルト,ボルト
射,1300,1300,10090,名詞,接尾,助数詞,*,*,*,射,シャ,シャ
リンギ,1300,1300,8698,名詞,接尾,助数詞,*,*,*,リンギ,リンギ,リンギ
勝,1300,1300,9967,名詞,接尾,助数詞,*,*,*,勝,ショウ,ショー
戦,1300,1300,11345,名詞,接尾,助数詞,*,*,*,戦,セン,セン
ナノ,1300,1300,8726,名詞,接尾,助数詞,*,*,*,ナノ,ナノ,ナノ
頭,1300,1300,9014,名詞,接尾,助数詞,*,*,*,頭,トウ,トー
ヶ所,1300,1300,8879,名詞,接尾,助数詞,*,*,*,ヶ所,カショ,カショ
ｋｂ,1300,1300,13714,名詞,接尾,助数詞,*,*,*,ｋｂ,キロバイト,キロバイト
Ｆ,1300,1300,17397,名詞,接尾,助数詞,*,*,*,Ｆ,エフ,エフ
客,1300,1300,11305,名詞,接尾,助数詞,*,*,*,客,キャク,キャク
団,1300,1300,10599,名詞,接尾,助数詞,*,*,*,団,ダン,ダン
派,1300,1300,13271,名詞,接尾,助数詞,*,*,*,派,ハ,ハ
艇,1300,1300,10918,名詞,接尾,助数詞,*,*,*,艇,テイ,テイ
号,1300,1300,19888,名詞,接尾,助数詞,*,*,*,号,ゴウ,ゴー
キロバイト,1300,1300,8698,名詞,接尾,助数詞,*,*,*,キロバイト,キロバイト,キロバイト
床,1300,1300,11890,名詞,接尾,助数詞,*,*,*,床,ショウ,ショー
面,1300,1300,12184,名詞,接尾,助数詞,*,*,*,面,メン,メン
立方センチメートル,1300,1300,9872,名詞,接尾,助数詞,*,*,*,立方センチメートル,リッポウセンチメートル,リッポーセンチメートル
本立て,1300,1300,12091,名詞,接尾,助数詞,*,*,*,本立て,ホンダテ,ホンダテ
幕,1300,1300,12616,名詞,接尾,助数詞,*,*,*,幕,マク,マク
ヵ年,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ヵ年,カネン,カネン
メーカー,1300,1300,9745,名詞,接尾,助数詞,*,*,*,メーカー,メーカー,メーカー
周忌,1300,1300,9039,名詞,接尾,助数詞,*,*,*,周忌,シュウキ,シューキ
皿,1300,1300,9671,名詞,接尾,助数詞,*,*,*,皿,サラ,サラ
山,1300,1300,13794,名詞,接尾,助数詞,*,*,*,山,ヤマ,ヤマ
ヘクトパスカル,1300,1300,8696,名詞,接尾,助数詞,*,*,*,ヘクトパスカル,ヘクトパスカル,ヘクトパスカル
拍,1300,1300,10611,名詞,接尾,助数詞,*,*,*,拍,ハク,ハク
セント,1300,1300,8901,名詞,接尾,助数詞,*,*,*,セント,セント,セント
号館,1300,1300,10004,名詞,接尾,助数詞,*,*,*,号館,ゴウカン,ゴーカン
ギガバイト,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ギガバイト,ギガバイト,ギガバイト
首,1300,1300,10257,名詞,接尾,助数詞,*,*,*,首,シュ,シュ
Ｍ,1300,1300,15006,名詞,接尾,助数詞,*,*,*,Ｍ,メガ,メガ
報,1300,1300,12456,名詞,接尾,助数詞,*,*,*,報,ホウ,ホー
坪,1300,1300,10139,名詞,接尾,助数詞,*,*,*,坪,ツボ,ツボ
ヘルツ,1300,1300,8735,名詞,接尾,助数詞,*,*,*,ヘルツ,ヘルツ,ヘルツ
ソル,1300,1300,8966,名詞,接尾,助数詞,*,*,*,ソル,ソル,ソル
銭,1300,1300,10897,名詞,接尾,助数詞,*,*,*,銭,セン,セン
冠,1300,1300,10581,名詞,接尾,助数詞,*,*,*,冠,カン,カン
糎,1300,1300,9872,名詞,接尾,助数詞,*,*,*,糎,センチメートル,センチメートル
校,1300,1300,10805,名詞,接尾,助数詞,*,*,*,校,コウ,コー
歩,1300,1300,10974,名詞,接尾,助数詞,*,*,*,歩,ホ,ホ
桁,1300,1300,9873,名詞,接尾,助数詞,*,*,*,桁,ケタ,ケタ
匁,1300,1300,9872,名詞,接尾,助数詞,*,*,*,匁,モンメ,モンメ
羽,1300,1300,10133,名詞,接尾,助数詞,*,*,*,羽,ワ,ワ
羽,1300,1300,13501,名詞,接尾,助数詞,*,*,*,羽,バ,バ
カナダドル,1300,1300,8677,名詞,接尾,助数詞,*,*,*,カナダドル,カナダドル,カナダドル
ミリアンペア,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ミリアンペア,ミリアンペア,ミリアンペア
モル,1300,1300,8698,名詞,接尾,助数詞,*,*,*,モル,モル,モル
句,1300,1300,12725,名詞,接尾,助数詞,*,*,*,句,ク,ク
帖,1300,1300,10837,名詞,接尾,助数詞,*,*,*,帖,ジョウ,ジョー
ペニヒ,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ペニヒ,ペニヒ,ペニヒ
反,1300,1300,13400,名詞,接尾,助数詞,*,*,*,反,タン,タン
センチ,1300,1300,6860,名詞,接尾,助数詞,*,*,*,センチ,センチ,センチ
ｄｂ,1300,1300,13714,名詞,接尾,助数詞,*,*,*,ｄｂ,デシベル,デシベル
次,1300,1300,9917,名詞,接尾,助数詞,*,*,*,次,ジ,ジ
篇,1300,1300,10404,名詞,接尾,助数詞,*,*,*,篇,ヘン,ヘン
アンペア,1300,1300,8970,名詞,接尾,助数詞,*,*,*,アンペア,アンペア,アンペア
デシリットル,1300,1300,8698,名詞,接尾,助数詞,*,*,*,デシリットル,デシリットル,デシリットル
ミクロン,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ミクロン,ミクロン,ミクロン
編,1300,1300,10789,名詞,接尾,助数詞,*,*,*,編,ヘン,ヘン
とおり,1300,1300,12306,名詞,接尾,助数詞,*,*,*,とおり,トオリ,トーリ
ｈｚ,1300,1300,13722,名詞,接尾,助数詞,*,*,*,ｈｚ,ヘルツ,ヘルツ
夜,1300,1300,11643,名詞,接尾,助数詞,*,*,*,夜,ヤ,ヤ
夜,1300,1300,13782,名詞,接尾,助数詞,*,*,*,夜,ヨ,ヨ
Ｇ,1300,1300,15337,名詞,接尾,助数詞,*,*,*,Ｇ,ギガ,ギガ
組,1300,1300,9483,名詞,接尾,助数詞,*,*,*,組,クミ,クミ
キロワット時,1300,1300,8622,名詞,接尾,助数詞,*,*,*,キロワット時,キロワットジ,キロワットジ
日,1300,1300,7930,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
体,1300,1300,12041,名詞,接尾,助数詞,*,*,*,体,タイ,タイ
箇国,1300,1300,9794,名詞,接尾,助数詞,*,*,*,箇国,カコク,カコク
ヶ条,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ヶ条,カジョウ,カジョー
ｋｔ,1300,1300,13700,名詞,接尾,助数詞,*,*,*,ｋｔ,キロトン,キロトン
回分,1300,1300,9233,名詞,接尾,助数詞,*,*,*,回分,カイブン,カイブン
タル,1300,1300,8758,名詞,接尾,助数詞,*,*,*,タル,タル,タル
ｇ,1300,1300,13736,名詞,接尾,助数詞,*,*,*,ｇ,グラム,グラム
毛,1300,1300,10749,名詞,接尾,助数詞,*,*,*,毛,モウ,モー
橋,1300,1300,9975,名詞,接尾,助数詞,*,*,*,橋,キョウ,キョー
トライ,1300,1300,8705,名詞,接尾,助数詞,*,*,*,トライ,トライ,トライ
切れ,1300,1300,12056,名詞,接尾,助数詞,*,*,*,切れ,キレ,キレ
ルクス,1300,1300,8698,名詞,接尾,助数詞,*,*,*,ルクス,ルクス,ルクス
パスカル,1300,1300,8699,名詞,接尾,助数詞,*,*,*,パスカル,パスカル,パスカル
敗,1300,1300,9509,名詞,接尾,助数詞,*,*,*,敗,ハイ,ハイ
滴,1300,1300,10316,名詞,接尾,助数詞,*,*,*,滴,テキ,テキ
えん,1300,1300,12254,名詞,接尾,助数詞,*,*,*,えん,エン,エン
